,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2013-01-31,0.07170296638969972,0.029342811577413787,0.06123912777357151,-0.0035296012194378007,0.02030621517784228,-0.006588403425422445,0.06391146994145572,0.08075683559127562,0.026801642616892867,-0.007410847618195021,0.07076415672278923,0.07149041240551937,0.0007046057207411912,0.049804051064729855,0.08354131210820244,0.08339418951758058,0.06787371046123485,0.07688153490458066,0.06877256267870778,0.056285934215410775,0.0339553133184581
2013-03-28,0.06812675226359828,0.034457541116085275,0.059025584283934535,-0.003451341109595854,0.03105982207473267,-0.00667162514281807,0.06213216531715771,0.07956649360402007,0.02541704291250725,-0.007317021501256638,0.06723288310358916,0.06820223525878066,-0.0004530180152865137,0.05811154930435008,0.08315634013118979,0.07944428527582045,0.07297222913424142,0.07503159890366605,0.0657054712783985,0.05600120971629915,0.03224980196148205
2013-05-31,0.06893952802095009,0.043988561101214706,0.06269505974092962,-0.0034349595071263934,0.03547890236491927,-0.0068838557195786375,0.061339980159367355,0.07930858582927477,0.02484652708882625,-0.007414791948611664,0.068646933332971,0.06568149385433743,-0.002636334752107541,0.05484221115160951,0.07980183449347832,0.0789758653713635,0.06488427595540924,0.0768737149404653,0.06675120044006842,0.05537057413558745,0.03194469352907027
2013-07-31,0.06414601011997807,0.04640642239285183,0.0610338180238875,-0.003055464913314269,0.036763777270828676,-0.005577028596328744,0.05954072086030319,0.08248893822668023,0.027728214533477135,-0.0062188014666029155,0.0651875780892677,0.06727782793230361,0.0002216139524416643,0.0579227469010259,0.07887892587858744,0.07805125874259818,0.06564582647177195,0.07503487320313408,0.06430144480476042,0.05373382760335007,0.030487469772308286
2013-09-30,0.0639465570230444,0.0466463817363891,0.0601182801972701,-0.0031964163641349163,0.034824016125288536,-0.006625616160351396,0.05936809456864907,0.08763376739369018,0.025740454593253848,-0.0068004849433889285,0.06417507718411718,0.0680430002467967,-0.0014403385694568224,0.0558438759940333,0.08057501383305146,0.08029980706075282,0.06336181041097363,0.07531878207843387,0.06665810809122706,0.054767155854101295,0.03074267357202893
2013-11-29,0.05777347350252688,0.047306914157994664,0.055811318341145735,-0.001228392964874368,0.04771417061003321,-0.002590926139201867,0.06257347743110162,0.08961864413327647,0.03502254427013062,-0.0027583866028829157,0.05206792001642977,0.06686986903582699,0.006127107410660433,0.06655613789006122,0.06444985275741597,0.07336328184956567,0.06769129142243623,0.08156160173084498,0.06267801073632813,0.04826071473796718,0.02113137554595622
2014-01-31,0.0616254494367033,0.04958949065455722,0.04750993354087143,-0.0011265028403000877,0.04901360750036193,-0.0018778182675063012,0.05738905173597709,0.09993352146517918,0.03328544211869197,-0.0020772521379742183,0.05609680922358321,0.07745741018696077,0.006666404628440005,0.0661078022814545,0.056813265645279214,0.06912706122145175,0.06561591037009795,0.07901928157436429,0.06165976087278628,0.04675582644025587,0.021415544191801465
2014-03-31,0.05318420181366595,0.05060594735231699,0.054228369721072825,-4.2288822739610685e-05,0.04818574546826153,0.0025738331640799287,0.04704239106380119,0.10205647207698469,0.029405462674634297,0.0018901581112507853,0.05355060944237612,0.07692456397185847,0.018493694736112287,0.06968772033762799,0.08533207446409301,0.0602029392818502,0.06924254650198004,0.06962569122522148,0.04793346700114454,0.0447529843091164,0.015123415904182789
2014-05-30,0.046889286399011465,0.045425186278430604,0.05174624685882876,0.001243243200735679,0.04983844163908387,0.010149628725995386,0.03720053102766244,0.099716491189655,0.0332653443521203,0.006032821340945009,0.052417556787017296,0.08823847652205308,0.0268103294224903,0.06989499182869555,0.08005415236648913,0.06030782441999627,0.0648281472951141,0.07243400946727031,0.046709478755140886,0.043981966287158024,0.012815845545407387
2014-07-31,0.04962197173679243,0.04541565584699754,0.05138647154212811,0.0014434546062242401,0.05015949708802569,0.012426639837976058,0.03846506722269018,0.09892833853300305,0.03127258783336432,0.007764207142864626,0.04920910003713777,0.0883028867854662,0.029531347239847527,0.06762039998154765,0.07746764181574156,0.0597893277414413,0.07083443119763506,0.06802343193473305,0.0450667288457126,0.04445631534826539,0.012814497547806782
