Strategy,Type,Return,Volatility,Sharpe
Classical MVO,GMV,0.0056625673400673435,0.02192761527376616,0.2582390866206936
Classical MVO,Tangency,0.015146590067340072,0.035911035584434495,0.4217809322632095
Bayesian (Diffuse Prior),GMV,0.0056625673400673435,0.023478542156673193,0.24118053422060104
Bayesian (Diffuse Prior),Tangency,0.015146590067340072,0.03845100127544,0.3939192625658549
Bayesian (Conj. Non-Info),GMV,0.0056625673086086355,0.02186666511773903,0.25895888916389703
Bayesian (Conj. Non-Info),Tangency,0.015146589983192349,0.03581118039755954,0.42295701551978326
Bayesian (Hist-Info Conj.),GMV,0.0057265732992316356,0.021924096902970334,0.2611999629711445
Bayesian (Hist-Info Conj.),Tangency,0.015111623646723651,0.035274940146233544,0.42839544401997187
