,0
2013-03-28,0.17851895742176696
2013-05-31,0.038738422974786677
2013-07-31,0.16042660629970706
2013-09-30,0.15949238820221298
2013-11-29,0.36538217555287233
2014-01-31,0.15366467604198109
2014-03-31,0.30418911964598944
2014-05-30,0.1072234571289444
2014-07-31,0.0796080990473623
2014-09-30,0.08857062944950678
2014-11-28,0.10716135264447504
2015-01-30,0.09021681874820647
2015-03-31,0.14752031850112848
2015-05-29,0.08159057745785704
2015-07-31,0.1605545065361214
2015-09-30,0.11814446256900168
2015-11-30,0.07206053033410484
2016-01-29,0.14021120810069665
2016-03-31,0.14109775607492292
2016-05-31,0.1219039104145024
2016-07-29,0.07054267090851145
2016-09-30,0.12273398058750708
2016-11-30,0.15751185165583917
2017-01-31,0.09145432101972231
2017-03-31,0.054629235308388355
2017-05-31,0.11718945593612262
2017-07-31,0.1232669979665695
2017-09-29,0.07229881238801325
2017-11-30,0.10696210438910185
2018-01-31,0.0725413908526733
2018-03-29,0.2085338797320258
2018-05-31,0.1318658049892368
2018-07-31,0.10712692677233324
2018-09-28,0.09849400691503124
2018-11-30,0.16106945059549682
2019-01-31,0.2397268077941832
2019-03-29,0.08991591046539528
2019-05-31,0.033522744699216074
2019-07-31,0.19563513666074234
2019-09-30,0.1095333883601339
2019-11-29,0.042754825698649676
2020-01-31,0.0848624534688452
2020-03-31,0.19766605385099947
2020-05-29,0.2852830431664382
2020-07-31,0.14830469076723132
2020-09-30,0.1191659865856901
2020-11-30,0.1776903966449131
2021-01-29,0.14415515547539232
2021-03-31,0.20968829661515864
2021-05-28,0.15499098531165179
2021-07-30,0.029900007856166505
2021-09-30,0.04511975991597321
2021-11-30,0.2061692879924452
2022-01-31,0.155258801921473
2022-03-31,0.23458369494485987
2022-05-31,0.23640841343103555
2022-07-29,0.2819004173917702
2022-09-30,0.19631862432203978
2022-11-30,0.4933187625002002
