,0
2013-03-28,0.16169658120382116
2013-05-31,0.1250279800627492
2013-07-31,0.22792132449171398
2013-09-30,0.17675580316163292
2013-11-29,0.5796770984179423
2014-01-31,0.2944606701448188
2014-03-31,0.4191847523428931
2014-05-30,0.23725747989246587
2014-07-31,0.24511205618773263
2014-09-30,0.20874563855166878
2014-11-28,0.3439686569658948
2015-01-30,0.2778076961571787
2015-03-31,0.3340743993547232
2015-05-29,0.32190533232369667
2015-07-31,0.537975318812695
2015-09-30,0.3856152144038691
2015-11-30,0.17526091101971064
2016-01-29,0.46198680252405644
2016-03-31,0.4146086425054951
2016-05-31,0.2826313195078405
2016-07-29,0.21330122976169255
2016-09-30,0.4127548915500773
2016-11-30,0.5174947421101134
2017-01-31,0.3173851606585638
2017-03-31,0.2369680982940216
2017-05-31,0.4375286288479178
2017-07-31,0.3983605569854087
2017-09-29,0.35307645428152323
2017-11-30,0.390478303833679
2018-01-31,0.19894735897672125
2018-03-29,0.3964788584472304
2018-05-31,0.4378048690627931
2018-07-31,0.3925363317890294
2018-09-28,0.2949898685933066
2018-11-30,0.2893600572982707
2019-01-31,0.7222392359775565
2019-03-29,0.31618689734962324
2019-05-31,0.13268454336981883
2019-07-31,0.47416991770897177
2019-09-30,0.22029750636447995
2019-11-29,0.10770542000971657
2020-01-31,0.22702114246996155
2020-03-31,0.37785703392244185
2020-05-29,0.5994616502570567
2020-07-31,0.2138187198049094
2020-09-30,0.236138869867358
2020-11-30,0.42296540010658223
2021-01-29,0.3833054212293079
2021-03-31,0.1703158100210856
2021-05-28,0.2083651407708856
2021-07-30,0.13061812141294238
2021-09-30,0.11338200090600621
2021-11-30,0.3211080294394471
2022-01-31,0.27011015098860885
2022-03-31,0.23973219971788082
2022-05-31,0.18609429123766963
2022-07-29,0.26148551582326907
2022-09-30,0.19837450962757497
2022-11-30,0.3222824187731901
