,0
2013-03-28,1.541395973436372
2013-05-31,0.7016952456114335
2013-07-31,1.4669015332233069
2013-09-30,0.8456573689921232
2013-11-29,1.3498269421609446
2014-01-31,1.1837660631196643
2014-03-31,1.2827705553792945
2014-05-30,0.40436918406126654
2014-07-31,0.45755439973422307
2014-09-30,0.4338665473832446
2014-11-28,1.16459558990233
2015-01-30,0.74229037693947
2015-03-31,0.7103893250713825
2015-05-29,0.8488243348850377
2015-07-31,1.2098050113919807
2015-09-30,0.9818944433504245
2015-11-30,0.728860639648748
2016-01-29,1.434343755402434
2016-03-31,0.8774017203710538
2016-05-31,0.9821165464339914
2016-07-29,0.800211361879682
2016-09-30,1.0097990005268025
2016-11-30,0.8826110725231315
2017-01-31,0.6148162235900035
2017-03-31,0.3979305769346463
2017-05-31,1.00163320100499
2017-07-31,0.6722557349365033
2017-09-29,0.8087023046741856
2017-11-30,0.9818321884546672
2018-01-31,0.3866398265215223
2018-03-29,1.0567190678176825
2018-05-31,1.0275973184723335
2018-07-31,0.9298216551500064
2018-09-28,0.6305094969828342
2018-11-30,0.9508422099956543
2019-01-31,1.5837032826615633
2019-03-29,1.606432423534752
2019-05-31,0.9130479762475969
2019-07-31,0.9424029039436953
2019-09-30,1.2493105205978496
2019-11-29,0.7263352785108069
2020-01-31,0.7567889816655389
2020-03-31,1.1203101222131582
2020-05-29,0.6445977333454348
2020-07-31,1.2284103077666764
2020-09-30,0.6766572075641457
2020-11-30,1.039044975521666
2021-01-29,0.5523544723673113
2021-03-31,1.0406868228079875
2021-05-28,1.3077528343232252
2021-07-30,1.011916075839486
2021-09-30,0.302126310707118
2021-11-30,1.799700585729258
2022-01-31,0.8891717164076964
2022-03-31,0.8813338894488165
2022-05-31,1.3303176166209232
2022-07-29,1.2682476840136223
2022-09-30,0.6465181560053488
2022-11-30,1.0139286595311334
