,0
2013-03-28,0.16671495744262266
2013-05-31,0.0971608819494542
2013-07-31,0.1303164423001955
2013-09-30,0.13495013234525288
2013-11-29,0.2703498455409412
2014-01-31,0.19320244445261067
2014-03-31,0.3103995361760134
2014-05-30,0.11457473488706446
2014-07-31,0.10560102516083394
2014-09-30,0.1162395467037811
2014-11-28,0.14555002776168757
2015-01-30,0.12307329799929706
2015-03-31,0.159418601452814
2015-05-29,0.10326788020886006
2015-07-31,0.13333931044147412
2015-09-30,0.11577479501241515
2015-11-30,0.08366087801929252
2016-01-29,0.12666345903666495
2016-03-31,0.15831859478308888
2016-05-31,0.11901377058811669
2016-07-29,0.06349515604410136
2016-09-30,0.12792619464799604
2016-11-30,0.1566596652804966
2017-01-31,0.1364945930453747
2017-03-31,0.10192816206404956
2017-05-31,0.11306798344030217
2017-07-31,0.11903256812756048
2017-09-29,0.08714373911483815
2017-11-30,0.14238751069728695
2018-01-31,0.11243221371623315
2018-03-29,0.15238527072187846
2018-05-31,0.09387086280334178
2018-07-31,0.10505503025337212
2018-09-28,0.08423861887491425
2018-11-30,0.14929676040960826
2019-01-31,0.22553905615633033
2019-03-29,0.13406266135379918
2019-05-31,0.08254403500030244
2019-07-31,0.19465245885754062
2019-09-30,0.11104230883182141
2019-11-29,0.07197484804972408
2020-01-31,0.08730566625098529
2020-03-31,0.189571077190489
2020-05-29,0.25751850390598596
2020-07-31,0.11117265044293372
2020-09-30,0.1098053646682689
2020-11-30,0.1629993433288815
2021-01-29,0.08654462046482927
2021-03-31,0.20898629148813624
2021-05-28,0.12381750873543898
2021-07-30,0.060123419356868595
2021-09-30,0.046294275183343836
2021-11-30,0.1474554282860662
2022-01-31,0.12250939346513531
2022-03-31,0.21191745826875388
2022-05-31,0.20870833498087643
2022-07-29,0.221522085019194
2022-09-30,0.14944202145378593
2022-11-30,0.23941287637596767
