,0
2013-03-28,0.45659700454352786
2013-05-31,0.24648980601267623
2013-07-31,0.6281940978277266
2013-09-30,0.436953236742958
2013-11-29,0.7070885977926907
2014-01-31,0.6075773704429495
2014-03-31,0.6090976028811196
2014-05-30,0.21899495130349322
2014-07-31,0.3511016336494454
2014-09-30,0.23323049770525067
2014-11-28,0.5132081134279257
2015-01-30,0.40317276675845654
2015-03-31,0.4834303944632389
2015-05-29,0.48238730230297633
2015-07-31,0.7148883167353894
2015-09-30,0.5032691046866207
2015-11-30,0.2601859463676849
2016-01-29,0.6859917588876849
2016-03-31,0.5748806538551446
2016-05-31,0.42620664860454005
2016-07-29,0.3269251355437885
2016-09-30,0.5720855916979157
2016-11-30,0.5912167821579136
2017-01-31,0.4487449093587956
2017-03-31,0.2759866429694282
2017-05-31,0.551307141269294
2017-07-31,0.4920001340444008
2017-09-29,0.4188976080785787
2017-11-30,0.4573635220229482
2018-01-31,0.19916122401783176
2018-03-29,0.4843400443604735
2018-05-31,0.5141942328672022
2018-07-31,0.43913157569236183
2018-09-28,0.322851329157259
2018-11-30,0.3883376574311218
2019-01-31,0.9113844294872746
2019-03-29,0.4587381683170002
2019-05-31,0.23098086550215016
2019-07-31,0.5376312210438896
2019-09-30,0.3086826377070866
2019-11-29,0.21804927082917697
2020-01-31,0.3020508253329521
2020-03-31,0.5194719992190825
2020-05-29,0.3698399074694225
2020-07-31,0.46097407848625704
2020-09-30,0.31518652882095316
2020-11-30,0.44079213995192923
2021-01-29,0.34901680923671935
2021-03-31,0.5892816375234557
2021-05-28,0.3357915260599757
2021-07-30,0.1564074822516021
2021-09-30,0.09992567813520234
2021-11-30,0.6158812136975557
2022-01-31,0.2926027843321821
2022-03-31,0.46450899836107606
2022-05-31,0.414381216003285
2022-07-29,0.5732542381956778
2022-09-30,0.3390413732707364
2022-11-30,0.6673590484318519
