,0
2013-03-28,0.20283239240638978
2013-05-31,0.44954849079490755
2013-07-31,0.27674207235574266
2013-09-30,0.27537977660967383
2013-11-29,0.3600814595821027
2014-01-31,0.664478249186932
2014-03-31,0.694718869637865
2014-05-30,0.21444918320329745
2014-07-31,0.22658075627384272
2014-09-30,0.08624679290574828
2014-11-28,0.19233550449012243
2015-01-30,0.107522357630897
2015-03-31,0.43254951675208686
2015-05-29,0.2896984414650362
2015-07-31,0.42078624510257456
2015-09-30,0.4320757976442897
2015-11-30,0.18653358499303316
2016-01-29,0.37787712505111914
2016-03-31,0.436061980197025
2016-05-31,0.19181699930319757
2016-07-29,0.20236997431065082
2016-09-30,0.30714976258321947
2016-11-30,0.13911592304921955
2017-01-31,0.226512477315042
2017-03-31,0.15370496312991067
2017-05-31,0.40750466742514807
2017-07-31,0.32588449290233135
2017-09-29,0.5073082748120415
2017-11-30,0.3344737667989886
2018-01-31,0.3210298371380765
2018-03-29,0.77957088426614
2018-05-31,0.2515819307318416
2018-07-31,0.34573432239636287
2018-09-28,0.23146600395951233
2018-11-30,0.2348401373578583
2019-01-31,0.8917585012401192
2019-03-29,0.45942876761091783
2019-05-31,0.2572824618352929
2019-07-31,0.35997273933679413
2019-09-30,0.23363174440321266
2019-11-29,0.15333906087532093
2020-01-31,0.20082413697569307
2020-03-31,0.3446085713054159
2020-05-29,0.160815612430122
2020-07-31,0.10025121982755661
2020-09-30,0.2415926446411706
2020-11-30,0.16326776393275938
2021-01-29,0.2117796785232308
2021-03-31,0.36441675309320554
2021-05-28,0.24326959584979393
2021-07-30,0.08723612686982249
2021-09-30,0.06814423789347417
2021-11-30,0.2167211166821865
2022-01-31,0.2894299918953678
2022-03-31,0.17917304316744245
2022-05-31,0.3736327148853622
2022-07-29,0.27796944949268076
2022-09-30,0.14297257160794727
2022-11-30,0.23785073261382497
