,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2013-01-31,0.05460563627444794,-0.02267218831115927,0.1055537704792795,0.0024514713681441517,0.0038659458533359856,-0.01218040955678281,0.14459845781019395,-0.0006558608218727925,-0.03242482484217929,-0.028885382322952464,0.03365556251943172,0.12559797876613313,-0.10258030519080476,-0.019906097744461518,0.16632859288035043,0.07855241262395729,0.08554630601948988,0.03389310988677794,0.12522712685653883,0.11661857231804212,0.1428101247855805
2013-03-28,0.04451640787547936,-0.02389537889843652,0.09482473695487811,0.0010122224855052375,0.04303932820974509,-0.012522894569611295,0.14853170223354595,-0.0026818432760753485,-0.04149000625744417,-0.029092196570624576,0.04486122449656444,0.12955656564833032,-0.10615951358042605,-0.0020437021086017336,0.1409192131438996,0.0799244009021576,0.08491536587449426,0.028196646236167057,0.12423208305322052,0.10720248206982677,0.1461531559397841
2013-05-31,0.0472325123895259,-0.01608213268474379,0.08248027709925781,0.0009355536944716686,0.05680225994021147,-0.011210391318720637,0.1480902343899265,0.007396509515556729,-0.03906688671880917,-0.027796303856718354,0.03682602269028845,0.1363077193143942,-0.10711994382196531,-0.009927065584996854,0.14274512878124623,0.07889144740946427,0.06177147193278273,0.019601095640360215,0.13121833312710024,0.11318806406224702,0.1477160938348578
2013-07-31,0.08516015478931904,-0.003280275153086364,0.08315558534743643,0.0012123821511625368,0.04945852398668821,-0.0074101306938896645,0.1595324488474952,-0.02933142669158167,-0.015586930297498646,-0.026540399638255278,0.04579132910867478,0.13822070057400898,-0.11296757779699891,-0.006315002787249367,0.1333969735761019,0.06828523068232929,0.04668639810248687,0.027007974609449478,0.13162179356202233,0.09985941111921932,0.1320428364226952
2013-09-30,0.0892282794256725,-0.005817784301103349,0.08178084096319296,0.0007071078574732432,0.062311989483275834,-0.01716349513376293,0.17855342301170865,-0.019020502371125514,-0.019055474871292714,-0.026317942701814714,0.043873060223919805,0.13608221404960255,-0.1160061100841589,-0.010150788591487034,0.10802759527989199,0.04743640609820458,0.08323233360313537,0.03041289753415808,0.12768237728305185,0.090209639021686,0.1339939340079052
2013-11-29,0.0569098383576503,-0.01213203878130593,0.05821143544400022,0.011881160442747623,0.12577252943521672,-0.030298302960416683,0.16799585110441465,0.008258995461580028,-0.023480675689106466,-0.04340400098605424,0.08649082364821584,0.06171774975376408,-0.08533582651538771,0.00636077873444954,0.15038805767464822,0.06054310509967022,0.07011798711475695,0.07307058076783737,0.08304296643795728,0.06912075846348743,0.1047682269997172
2014-01-31,0.028188426906098584,0.004098019138710537,0.11112697333567015,0.007746970090643983,0.13887844071165623,-0.02492159851858282,0.18941613468843804,-0.0178749512566565,-0.040770327927926515,-0.03368352182006435,0.08130376490850576,0.050967639244869516,-0.07735707529263092,0.016190097333595947,0.1495757572132159,0.03976148909115429,0.0794961618991139,0.05787511755997931,0.08002816330406108,0.07039587464161674,0.08955844474027998
2014-03-31,0.03645675204310199,0.018753459866155862,0.09574735151126898,0.007419849222394422,0.11627945405891536,-0.0068757458700081965,0.17760258537878204,-0.04865192986366751,-0.05535050866937153,-0.02693801775493566,0.04146627173431184,0.030551684699221957,-0.053372402143170336,0.009442812953462984,0.1310541089087253,0.06111315963616487,0.10844171725837592,0.1310461184225044,0.09372717290475881,0.04180231687903271,0.0902837888175123
2014-05-30,0.019732458582397916,0.0097471548646847,0.1137893200227712,0.012324097309681543,0.1414799277029243,0.00010620033984753735,0.16490380105006602,-0.033332211095782355,-0.060894090530469326,-0.033984995005793474,0.046261772387456865,0.009568735087599008,-0.05661268213784676,0.022348534021976514,0.11842825506213905,0.06572614315580556,0.09822906715123501,0.1569122979100827,0.08325453540721196,0.0403881051528244,0.08162357356109168
2014-07-31,0.009440253636405905,0.021252165113745638,0.12463391872827861,0.012147936153925452,0.14610863988926495,-0.0065674653534942215,0.16773482805799922,-0.013463418603171592,-0.051671064290567524,-0.028116779048977306,0.06240946205797693,-0.001681243641242898,-0.052635677284678224,0.046662214984287013,0.07879622973257779,0.07414966461034135,0.07497099380248066,0.14365039589251719,0.07180193906133771,0.033828684624761365,0.08654832187636831
