,0
2013-03-28,0.05889287920209305
2013-05-31,0.045501257328444566
2013-07-31,0.04188691435304451
2013-09-30,0.028047402497335127
2013-11-29,0.13383971302542821
2014-01-31,0.069369790701828
2014-03-31,0.133827544649505
2014-05-30,0.08253518163204786
2014-07-31,0.03558589253497583
2014-09-30,0.06031114481600107
2014-11-28,0.04907171458295915
2015-01-30,0.027694408690255454
2015-03-31,0.060564619215639104
2015-05-29,0.03837511053337841
2015-07-31,0.07382814935477917
2015-09-30,0.0937670855480927
2015-11-30,0.07325507325957682
2016-01-29,0.07268819737384112
2016-03-31,0.050061086383340225
2016-05-31,0.05520548632323388
2016-07-29,0.020375326032069353
2016-09-30,0.0677662811470316
2016-11-30,0.11117836781830202
2017-01-31,0.04739905721568114
2017-03-31,0.06594581439921787
2017-05-31,0.02554321293958572
2017-07-31,0.08491621787487726
2017-09-29,0.030351515869357488
2017-11-30,0.04334134043964834
2018-01-31,0.022096249007589438
2018-03-29,0.06512580899618367
2018-05-31,0.028366161124361938
2018-07-31,0.03514340010520095
2018-09-28,0.04821626169051349
2018-11-30,0.13033900630793205
2019-01-31,0.08624394168840449
2019-03-29,0.09812831334498033
2019-05-31,0.03337704263093367
2019-07-31,0.07463683334561473
2019-09-30,0.0444139886250966
2019-11-29,0.02290619652146863
2020-01-31,0.026971121794727618
2020-03-31,0.07123224008461962
2020-05-29,0.20558657533736283
2020-07-31,0.03909366586226881
2020-09-30,0.07607154113739785
2020-11-30,0.03485584324571369
2021-01-29,0.08703114340766524
2021-03-31,0.04587599471258559
2021-05-28,0.035370456107142345
2021-07-30,0.01472674742946484
2021-09-30,0.011431439532452565
2021-11-30,0.03674900793663821
2022-01-31,0.038295706875088084
2022-03-31,0.051178241036311314
2022-05-31,0.05449587532813773
2022-07-29,0.038106508973437654
2022-09-30,0.031143424487631848
2022-11-30,0.08402880819352401
